Construct,Item
Narcissistic admiration,NARC_1
,NARC_2
,NARC_3
,NARC_4
,NARC_5
,NARC_6
,NARC_7
,NARC_8
,NARC_9
Narcissistic rivialry,NARC_10
,NARC_11
,NARC_12
,NARC_13
,NARC_14
,NARC_15
,NARC_16
,NARC_17
,NARC_18
Achievement,WV1_achievement
,WV6_achievement
Status,WV4_status
,WV5_status
,WV12_status
Altruism,WV8_altruism
,WV11_altruism
,WV15_altruism
Safety,WV2_safety
,WV16_safety
,WV17_safety
Comfort,WV3_comfort
,WV7_comfort
,WV10_comfort
,WV14_comfort
,WV18_comfort
,WV19_comfort
Autonomy,WV9_autonomy
,WV13_autonomy
,WV20_autonomy
Realistic,Voc_Interests_5_R
,Voc_Interests_7_R
,Voc_Interests_11_R
,Voc_Interests_13_R
,Voc_Interests_15_R
,Voc_Interests_24_R
,Voc_Interests_27_R
,Voc_Interests_34_R
,Voc_Interests_51_R
Investigative,Voc_Interests_9_I
,Voc_Interests_10_I
,Voc_Interests_14_I
,Voc_Interests_21_I
,Voc_Interests_25_I
,Voc_Interests_29_I
,Voc_Interests_32_I
,Voc_Interests_39_I
,Voc_Interests_52_I
Artistic,Voc_Interests_2_A
,Voc_Interests_3_A
,Voc_Interests_6_A
,Voc_Interests_19_A
,Voc_Interests_22_A
,Voc_Interests_30_A
,Voc_Interests_38_A
,Voc_Interests_44_A
,Voc_Interests_54_A
Social,Voc_Interests_16_S
,Voc_Interests_23_S
,Voc_Interests_35_S
,Voc_Interests_43_S
,Voc_Interests_45_S
,Voc_Interests_46_S
,Voc_Interests_47_S
,Voc_Interests_48_S
,Voc_Interests_53_S
Enterprising,Voc_Interests_18_E
,Voc_Interests_26_E
,Voc_Interests_28_E
,Voc_Interests_31_E
,Voc_Interests_33_E
,Voc_Interests_37_E
,Voc_Interests_41_E
,Voc_Interests_42_E
,Voc_Interests_50_E
Conventional,Voc_Interests_1_C
,Voc_Interests_4_C
,Voc_Interests_8_C
,Voc_Interests_12_C
,Voc_Interests_17_C
,Voc_Interests_20_C
,Voc_Interests_36_C
,Voc_Interests_40_C
,Voc_Interests_49_C
,
Supplemental RIASEC ONET 60 items,RIASEC_1
,RIASEC_2
,RIASEC_3
,RIASEC_4
,RIASEC_5
,RIASEC_6
,RIASEC_7
,RIASEC_8
,RIASEC_9
,RIASEC_10
,RIASEC_11
,RIASEC_12
,RIASEC_13
,RIASEC_14
,RIASEC_15
,RIASEC_16
,RIASEC_17
,RIASEC_18
,RIASEC_19
,RIASEC_20
,RIASEC_21
,RIASEC_22
,RIASEC_23
,RIASEC_24
,RIASEC_25
,RIASEC_26
,RIASEC_27
,RIASEC_28
,RIASEC_29
,RIASEC_30
,RIASEC_31
,RIASEC_32
,RIASEC_33
,RIASEC_34
,RIASEC_35
,RIASEC_36
,RIASEC_37
,RIASEC_38
,RIASEC_39
,RIASEC_40
,RIASEC_41
,RIASEC_42
,RIASEC_43
,RIASEC_44
,RIASEC_45
,RIASEC_46
,RIASEC_47
,RIASEC_48
,RIASEC_49
,RIASEC_50
,RIASEC_51
,RIASEC_52
,RIASEC_53
,RIASEC_54
,RIASEC_55
,RIASEC_56
,RIASEC_57
,RIASEC_58
,RIASEC_59
,RIASEC_60
