Duration__in_seconds_,ResponseId,RIASEC_1,RIASEC_2,RIASEC_3,RIASEC_4,RIASEC_5,RIASEC_6,RIASEC_7,RIASEC_8,RIASEC_9,RIASEC_10,RIASEC_11,RIASEC_12,RIASEC_13,RIASEC_14,RIASEC_15,RIASEC_16,RIASEC_17,RIASEC_18,RIASEC_19,RIASEC_20,RIASEC_21,RIASEC_22,RIASEC_23,RIASEC_24,RIASEC_25,RIASEC_26,RIASEC_27,RIASEC_28,RIASEC_29,RIASEC_30,RIASEC_31,RIASEC_32,RIASEC_33,RIASEC_34,RIASEC_35,RIASEC_36,RIASEC_37,RIASEC_38,RIASEC_39,RIASEC_40,RIASEC_41,RIASEC_42,RIASEC_43,RIASEC_44,RIASEC_45,RIASEC_46,RIASEC_47,RIASEC_48,RIASEC_49,RIASEC_50,RIASEC_51,RIASEC_52,RIASEC_53,RIASEC_54,RIASEC_55,RIASEC_56,RIASEC_57,RIASEC_58,RIASEC_59,RIASEC_60,NARC_1,NARC_2,NARC_3,NARC_4,NARC_5,NARC_6,NARC_7,NARC_8,NARC_9,NARC_10,NARC_11,NARC_12,NARC_13,NARC_14,NARC_15,NARC_16,NARC_17,NARC_18,Voc_Interests_5_R,Voc_Interests_7_R,Voc_Interests_11_R,Voc_Interests_13_R,Voc_Interests_15_R,Voc_Interests_24_R,Voc_Interests_27_R,Voc_Interests_34_R,Voc_Interests_51_R,Voc_Interests_9_I,Voc_Interests_10_I,Voc_Interests_14_I,Voc_Interests_21_I,Voc_Interests_25_I,Voc_Interests_29_I,Voc_Interests_32_I,Voc_Interests_39_I,Voc_Interests_52_I,Voc_Interests_2_A,Voc_Interests_3_A,Voc_Interests_6_A,Voc_Interests_19_A,Voc_Interests_22_A,Voc_Interests_30_A,Voc_Interests_38_A,Voc_Interests_44_A,Voc_Interests_54_A,Voc_Interests_16_S,Voc_Interests_23_S,Voc_Interests_35_S,Voc_Interests_43_S,Voc_Interests_45_S,Voc_Interests_46_S,Voc_Interests_47_S,Voc_Interests_48_S,Voc_Interests_53_S,Voc_Interests_18_E,Voc_Interests_26_E,Voc_Interests_28_E,Voc_Interests_31_E,Voc_Interests_33_E,Voc_Interests_37_E,Voc_Interests_41_E,Voc_Interests_42_E,Voc_Interests_50_E,Voc_Interests_1_C,Voc_Interests_4_C,Voc_Interests_8_C,Voc_Interests_12_C,Voc_Interests_17_C,Voc_Interests_20_C,Voc_Interests_36_C,Voc_Interests_40_C,Voc_Interests_49_C,WV1_achievement,WV6_achievement,WV4_status,WV5_status,WV12_status,WV8_altruism,WV11_altruism,WV15_altruism,WV2_safety,WV16_safety,WV17_safety,WV3_comfort,WV7_comfort,WV10_comfort,WV14_comfort,WV18_comfort,WV19_comfort,WV9_autonomy,WV13_autonomy,WV20_autonomy,Ethnicity,Work_status,Edu,Income,Age,Gender
332,R_3GdmJQIx38sHDeo,3,2,3,2,3,4,4,2,3,4,3,4,3,2,2,3,2,3,4,3,3,4,4,4,2,3,3,4,3,4,4,4,4,4,1,2,2,4,4,4,2,1,3,2,3,4,1,2,4,4,3,3,1,4,3,4,3,4,1,3,3,5,6,4,5,3,3,2,3,3,5,5,6,4,2,4,2,4,2,3,4,2,5,2,2,4,5,4,3,1,4,3,4,4,2,3,3,3,5,4,2,3,2,4,5,5,3,3,5,4,3,4,3,3,3,5,3,2,4,4,2,4,1,5,4,3,4,2,3,2,5,3,3,5,3,4,4,3,4,5,4,5,5,5,6,4,3,3,7,3,4,3,1,12,4,4,32,0
363,R_3Rgr7j11OAYJQQs,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,4,3,3,3,3,1,4,2,3,4,3,1,1,2,3,4,2,2,1,3,1,2,2,2,3,1,1,1,2,3,3,2,1,2,2,1,1,1,2,1,2,3,3,3,5,3,2,2,2,4,5,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,2,4,2,5,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,6,6,6,2,6,6,4,6,6,6,6,4,6,5,6,3,6,6,6,6,1,12,3,3,22,0
373,R_8igNn8dvefFBEhX,2,2,2,3,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,3,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,4,4,3,2,3,4,4,5,3,2,2,3,2,3,3,4,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,4,3,7,7,7,4,4,7,7,4,7,7,7,4,7,4,7,4,7,4,4,4,1,12,4,3,24,1
374,R_22Qvd5IpBU9zlTr,4,1,3,3,3,3,3,3,2,3,1,3,3,1,3,3,3,3,1,2,1,2,3,3,2,3,1,2,1,2,2,3,2,3,4,4,1,4,1,3,2,3,4,2,4,3,4,3,3,3,2,3,3,4,3,3,3,1,2,4,4,3,3,4,4,4,5,3,3,2,3,2,3,2,4,4,3,3,2,4,2,2,2,3,3,3,2,3,2,2,4,2,3,3,3,1,2,2,4,1,3,5,1,4,3,4,2,5,4,3,4,4,5,2,2,3,3,4,3,4,3,3,3,2,3,4,2,4,4,4,3,5,4,4,5,3,4,4,3,6,3,4,5,3,4,5,4,4,4,6,6,5,5,12,2,2,33,0
421,R_2qdSi80I3FBEVky,1,1,1,1,3,1,1,1,1,1,1,1,2,4,1,1,1,1,4,2,1,3,3,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,3,1,1,1,1,4,1,1,3,1,2,1,1,1,1,5,1,1,3,5,2,3,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,4,1,1,1,3,5,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,7,7,7,7,7,7,7,7,7,4,7,4,7,7,7,7,1,12,6,7,41,0
424,R_1d6JEyHSBivilij,1,1,1,3,1,1,1,1,1,1,3,3,2,4,3,3,3,3,1,3,4,4,4,1,3,1,3,1,1,3,3,4,4,4,4,1,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,6,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,4,4,1,5,4,1,1,5,4,1,1,5,1,1,5,5,5,5,1,5,5,1,5,5,1,1,2,1,1,1,5,1,1,1,1,1,4,1,1,2,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,12,4,3,33,0
427,R_2QJv1k4hFO9KQC3,1,1,1,1,1,1,1,1,2,1,2,1,1,3,3,1,1,1,1,1,1,3,1,1,3,1,4,1,1,3,4,3,3,1,1,1,1,3,1,1,1,1,3,3,3,1,3,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,5,1,5,5,1,1,1,5,1,5,4,1,5,1,1,5,5,1,1,1,1,5,1,1,1,1,1,4,1,5,1,1,1,5,5,1,1,1,4,5,1,1,1,7,7,6,7,6,7,7,4,6,7,7,7,7,6,7,1,7,6,7,7,1,12,4,2,46,1
428,R_2XmJGzpvPcleTEf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,4,2,3,4,2,3,3,2,3,2,3,3,2,2,3,2,1,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,5,3,4,2,5,2,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,4,4,4,2,2,2,5,4,2,2,2,2,2,2,2,2,2,4,4,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,5,6,5,4,5,5,5,5,6,6,5,5,6,5,6,4,6,6,5,6,1,12,6,6,66,1
429,R_295hX8TA2PQtK0Z,3,2,3,2,3,2,3,3,3,2,3,2,2,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,2,2,3,3,2,3,2,2,2,2,3,1,2,2,3,2,3,2,2,2,2,4,2,4,4,2,4,4,3,4,2,2,2,4,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,4,4,2,2,4,4,2,4,2,4,4,4,4,2,4,2,4,4,4,2,2,2,2,2,2,4,2,2,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,12,4,4,28,1
436,R_3O85Q0rA5ogg0Ol,1,2,2,1,1,1,3,1,1,1,3,2,2,2,3,3,2,3,2,3,1,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,3,3,1,1,2,1,4,3,1,1,1,3,1,2,5,5,4,2,6,1,1,2,3,2,2,1,1,1,1,3,4,1,2,1,4,1,1,1,1,1,1,1,4,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,3,4,1,1,4,3,1,3,1,6,1,5,5,4,1,7,7,6,1,7,7,7,2,7,3,4,5,1,12,4,3,27,1
