StartDate;EndDate;Status;Progress;Duration__in_seconds_;Finished;RecordedDate;DistributionChannel;UserLanguage;Q_Informed_Consent;Age;Gender;Nationality;Nationality_3_TEXT;Profession;Education;Covid_19_3;Covid_19_4;Covid_19_5;Manip_checks_power;man_check_guilt;guilt_likelihood_1;guilt_likelihood_2;Recidivism_1;Recidivism_2;Recidivism_3;Motives_Punishment_1;Motives_Punishment_2;Motives_Punishment_3;Motives_Punishment_4;Motives_Punishment_5;Motives_Punishment_6;Motives_Punishment_7;Motives_Punishment_8;Motives_Punishment_9;Motives_Punishment_10;Motives_Punishment_11;Motives_Punishment_12;Motives_Punishment_13;Motives_Punishment_14;Motives_Punishment_15;Motives_Punishment_16;tic
9/1/2020 5:01:38;9/1/2020 5:04:44;0;100;186;1;9/1/2020 5:04:45;anonymous;EN-GB;1;51;1;1; ;3;1;10;10;8;1;2;4;4;3;3;3;5;3;4;3;6;4;5;5;5;5;4;3;3;3;5;3;1a7ea64e5cbcb42770fff23b8fc8a681
9/1/2020 5:02:45;9/1/2020 5:05:26;0;100;160;1;9/1/2020 5:05:26;anonymous;EN-GB;1;69;2;1; ;4;2;7;1;1;2;2;4;4;4;4;4;4;2;2;2;4;2;5;5;4;5;5;5;2;2;5;2;fc473243fb7fe9b07356c3a389f2868b
9/1/2020 5:05:38;9/1/2020 5:09:25;0;100;226;1;9/1/2020 5:09:25;anonymous;EN-GB;1;50;1;1; ;3;1;6;8;1;2;2;4;3;1;1;1;4;1;1;7;7;1;7;5;7;7;3;3;1;1;3;1;7bfc0917c72215ffbc4dd4a5963da042
9/1/2020 5:01:22;9/1/2020 5:10:36;0;100;554;1;9/1/2020 5:10:36;anonymous;EN-GB;1;34;1;3;dutch;4;2;9;9;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;144aa321db806d4165d923ce55e49ecf
9/1/2020 5:11:37;9/1/2020 5:14:10;0;100;153;1;9/1/2020 5:14:11;anonymous;EN-GB;1;64;1;1; ;3;2;10;10;10;3;2;4;4;4;4;4;5;4;5;5;5;4;5;6;5;5;5;5;4;4;6;4;6383564893cb13c8efbb84cd7f681fd2
9/1/2020 5:08:39;9/1/2020 5:16:47;0;100;488;1;9/1/2020 5:16:47;anonymous;EN-GB;1;68;1;1; ;4;1;10;1;7;1;2;4;4;4;2;4;5;4;4;5;5;5;4;7;5;7;4;3;5;2;5;2;a540a93ca0f5f7eace05ed2f810a8c1c
9/1/2020 5:32:43;9/1/2020 5:37:17;0;100;273;1;9/1/2020 5:37:17;anonymous;EN-GB;1;49;1;1; ;4;2;9;7;9;1;2;5;4;1;4;4;3;4;4;4;5;2;6;7;4;5;2;1;4;4;4;2;c8fb8906a9e920a97c76c35f44ded3f3
9/1/2020 5:37:08;9/1/2020 5:41:51;0;100;283;1;9/1/2020 5:41:52;anonymous;EN-GB;1;60;1;1; ;4;1;8;5;2;2;2;4;3;3;3;3;5;5;4;7;7;1;7;4;7;4;4;3;2;6;4;4;2cd16efbf671c8376d9de8ba568ef4ab
9/1/2020 5:41:51;9/1/2020 5:45:29;0;100;218;1;9/1/2020 5:45:29;anonymous;EN-GB;1;62;2;1; ;4;1;5;4;5;1;2;4;3;4;4;5;6;4;5;6;5;5;6;6;6;6;4;5;4;4;5;4;eb5d02232e532483217c7daa515d8ed0
9/1/2020 5:44:50;9/1/2020 5:47:25;0;100;155;1;9/1/2020 5:47:26;anonymous;EN-GB;1;67;2;1; ;3;3;10;7;10;1;2;4;4;4;4;4;5;6;5;5;5;5;4;5;6;5;5;5;5;7;7;5;7e1f553facabbbdebbae2d019612fac2
