,count
Lack of counterfactual demonstrations,75
Lack of context,25
Lack of opinionbased information,65
Lack of examples,28
Lack of feedback,1
Knowledge conflicts,11
Prediction with Abstention,12
Lack of counterfactual demonstrationsKnowledge conflicts,1
Lack of counterfactual demonstrationsLack of opinionbased informationLack of context,1
Lack of counterfactual demonstrationsLack of opinionbased information,2
Lack of counterfactual demonstrationsLack of opinionbased informationLack of contextPrediction with Abstention,1
